,frankenstein,dracula,treasure_island,monte_cristo,republic,communist_manifesto
frost,0.0001440009216058983,0.0,3.1185679535957086e-05,4.404277434244138e-06,0.0,0.0
desolation,0.00017280110592707794,4.1498367730869255e-05,0.0,8.808554868488276e-06,0.0,0.0
ever,0.0024480156673002706,0.0018812593371327394,0.0014657269381899833,0.0008235998802036538,0.0012711643657202397,0.0015218126479540075
presents,8.640055296353897e-05,0.0,0.0,3.963849690819724e-05,1.041938004688721e-05,0.0
imagination,0.0006624042393871321,0.00015216068167985393,0.0,0.00012772404559308,0.00016671008075019536,0.0
region,0.00011520073728471862,2.7665578487246167e-05,0.0,0.0,0.00016671008075019536,0.0
beauty,0.0007776049766718507,0.00023515741714159243,0.0,0.00014093687789581242,0.0007397759833289919,0.0
margaret,0.0002880018432117966,0.0,0.0,0.0,0.0,0.0
sun,0.0012960082944530845,0.0007608034083992696,0.0007796419883989272,0.00022902242658069517,0.0005626465225319093,0.0
visible,0.00017280110592707794,8.299673546173851e-05,6.237135907191417e-05,0.00016736254250127725,0.0003125814014066163,0.0
broad,5.760036864235931e-05,0.00015216068167985393,0.0002494854362876567,4.404277434244138e-05,0.0,0.0
disk,5.760036864235931e-05,0.0,0.0,0.0,0.0,0.0
just,0.0005472035021024135,0.002337741382172301,0.0019646978107652965,0.0016031569860648662,0.0032404271945819223,0.0018599932363882314
skirting,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
horizon,0.00017280110592707794,0.00012449510319260775,3.1185679535957086e-05,8.368127125063862e-05,2.083876009377442e-05,0.0
diffusing,2.8800184321179656e-05,0.0,0.0,0.0,0.0,0.0
perpetual,0.0001440009216058983,1.3832789243623083e-05,0.0,2.202138717122069e-05,2.083876009377442e-05,0.0
splendour,2.8800184321179656e-05,1.3832789243623083e-05,0.0,0.0,1.041938004688721e-05,0.0
leave,0.0006336040550659524,0.0007746361976428927,0.0005613422316472276,0.0011979634621144056,0.0003021620213597291,0.0
put,0.0004320027648176948,0.00148010844906767,0.0018711407721574253,0.000735514331518771,0.0007397759833289919,0.0010145417653026716
