,0
imaginative,0.17609125905568124
something,0.0
work,-0.06694678963061322
practically,0.0
industrious,0.17609125905568124
painstaking,0.47712125471966244
workman,0.0
execute,0.17609125905568124
perseverance,0.30102999566398114
labour,0.0
besides,-0.06694678963061322
marvellous,0.0791812460476248
belief,-0.06694678963061322
intertwined,0.30102999566398114
projects,0.30102999566398114
hurries,0.30102999566398114
pathways,0.47712125471966244
unvisited,0.47712125471966244
explore,0.30102999566398114
dearer,0.17609125905568124
considerations,0.0791812460476248
traversed,0.30102999566398114
immense,-0.06694678963061322
southern,0.0791812460476248
cape,0.0
africa,0.17609125905568124
america,-0.06694678963061322
dare,0.0
expect,0.0
bear,0.0
look,0.0
reverse,0.0
picture,0.0
continue,0.0
write,-0.06694678963061322
opportunity,-0.06694678963061322
receive,0.0791812460476248
letters,0.0791812460476248
occasions,0.0791812460476248
support,-0.06694678963061322
tenderly,0.17609125905568124
robert,0.17609125905568124
july,0.0791812460476248
lines,0.0
haste,0.0791812460476248
say,-0.06694678963061322
safe,0.0
advanced,-0.06694678963061322
merchantman,0.47712125471966244
homeward,0.17609125905568124
however,-0.06694678963061322
bold,0.0
apparently,-0.06694678963061322
floating,0.0
sheets,0.0791812460476248
ice,0.0791812460476248
continually,0.0
us,-0.06694678963061322
indicating,0.0791812460476248
dangers,-0.06694678963061322
dismay,0.17609125905568124
reached,0.0
high,-0.06694678963061322
latitude,0.0791812460476248
height,0.0
summer,0.0791812460476248
although,-0.06694678963061322
warm,0.0
gales,0.30102999566398114
blow,0.0
speedily,0.0791812460476248
shores,0.0791812460476248
ardently,0.30102999566398114
attain,0.0791812460476248
breathe,0.0
degree,0.0
renovating,0.47712125471966244
warmth,0.0791812460476248
incidents,0.0791812460476248
befallen,0.17609125905568124
make,-0.06694678963061322
figure,-0.06694678963061322
two,-0.06694678963061322
stiff,0.0791812460476248
springing,0.0
leak,0.17609125905568124
accidents,0.0
experienced,0.0
scarcely,0.0
record,0.0
content,-0.06694678963061322
worse,0.0
happen,0.0
adieu,0.30102999566398114
assured,-0.06694678963061322
sake,0.0
encounter,0.17609125905568124
cool,0.0791812460476248
persevering,0.47712125471966244
prudent,0.17609125905568124
crown,0.0
endeavours,0.30102999566398114
wherefore,0.0791812460476248
thus,-0.06694678963061322
gone,-0.06694678963061322
tracing,0.17609125905568124
way,-0.06694678963061322
pathless,0.47712125471966244
stars,0.0
witnesses,0.17609125905568124
testimonies,0.47712125471966244
triumph,0.0
untamed,0.47712125471966244
obedient,0.0791812460476248
element,0.0
stop,-0.06694678963061322
determined,-0.06694678963061322
swelling,0.0791812460476248
involuntarily,0.0791812460476248
pours,0.0791812460476248
finish,-0.06694678963061322
bless,0.0791812460476248
beloved,0.0791812460476248
w,0.17609125905568124
august,0.0791812460476248
strange,0.0
accident,0.0
happened,0.0
forbear,0.17609125905568124
